parent_name	child_name	position	value	id	whitelist	whitelist	whitelist	whitelist	whitelist
Arts		0.3	/display/theaustralian.com.au/Web/TheAustralian/Arts/	1111112091330	theaustralian				
Business		0.4	/display/theaustralian.com.au/Web/TheAustralian/Business/	1111112091789	theaustralian				
Entertainment		3.0	/display/newscorpaustralia.com/Web/NewsNetwork/Entertainment - syndicated/	1226494497264	newscomau	metros	regionals		
Entertainment	Movies	3.1	/display/newscorpaustralia.com/Web/NewsNetwork/Entertainment - syndicated/Movies/	1226494578146	newscomau	metros	regionals		
Entertainment	TV	3.2	/display/newscorpaustralia.com/Web/NewsNetwork/Entertainment - syndicated/Television/	1226494599190	newscomau	metros	regionals		
Entertainment	Music	3.3	/display/newscorpaustralia.com/Web/NewsNetwork/Entertainment - syndicated/Music/	1226494578312	newscomau	metros	regionals		
Entertainment	Awards	3.4	/display/newscorpaustralia.com/Web/NewsNetwork/Entertainment - syndicated/Awards/	1226653614940	newscomau	metros	regionals		
Finance		7.0	/display/newscorpaustralia.com/Web/NewsNetwork/Finance - syndicated/	1226544095474	newscomau	metros	regionals		
Finance	Money 	7.1	/display/newscorpaustralia.com/Web/NewsNetwork/Money - syndicated/	1226521942870	newscomau	metros	regionals		
Life 		0.5	/display/theaustralian.com.au/Web/TheAustralian/Life/	1111112093076	theaustralian				
Lifestyle		4.0	/display/newscorpaustralia.com/Web/NewsNetwork/Lifestyle - syndicated/	1226521171876	newscomau	metros	regionals		
Lifestyle	Health	4.1	/display/newscorpaustralia.com/Web/NewsNetwork/Lifestyle - syndicated/Health/	1226521179224	newscomau	metros	regionals		
Lifestyle	Food	4.2	/display/newscorpaustralia.com/Web/NewsNetwork/Lifestyle - syndicated/Food/	1226521179048	newscomau	metros	regionals		
Lifestyle	Fashion	4.3	/display/newscorpaustralia.com/Web/NewsNetwork/Lifestyle - syndicated/Fashion/	1226521227039	newscomau	metros	regionals		
Lifestyle	Home	4.4	/display/newscorpaustralia.com/Web/NewsNetwork/Lifestyle - syndicated/Home/	1226521179302	newscomau	metros	regionals		
Lifestyle	Parenting	4.5	/display/newscorpaustralia.com/Web/NewsNetwork/Lifestyle - syndicated/Parenting/	1226521216704	newscomau	metros	regionals		
Lifestyle	Relationships	4.6	/display/newscorpaustralia.com/Web/NewsNetwork/Lifestyle - syndicated/Relationships/	1226521216876	newscomau	metros	regionals		
Live 		8.4	/display/whimn.com.au/Web/Live/	e7617552-fa49-4568-bf41-dadecd081f39	whimn				
Look		8.1	/display/whimn.com.au/Web/Look/	d3f2e08a-83a4-4bee-adb0-66b980ef3293	whimn				
Love		8.3	/display/whimn.com.au/Web/Love/	f757a421-f6ef-4b2a-bab7-305b3ecb6cd4	whimn				
National Affairs		0.2	/display/theaustralian.com.au/Web/TheAustralian/National Affairs/	1225846999689	theaustralian				
News		0.0	/display/theaustralian.com.au/Web/TheAustralian/News/	1111112088738	theaustralian				
News		1.0	/display/newscorpaustralia.com/Web/NewsNetwork/Network News/National/Politics/	1226487036675	newscomau	metros	regionals		
News	Breaking News	1.1	/display/newscorpaustralia.com/Web/NewsNetwork/Network News/Breaking News/	1226490816249	newscomau	metros	regionals		
News	Politics	1.2	/display/newscorpaustralia.com/Web/NewsNetwork/Network News/National/Politics/	1227222420849	newscomau	metros	regionals		
News	World	1.3	/display/newscorpaustralia.com/Web/NewsNetwork/Network News/World/	1226490532755	newscomau	metros	regionals		
News	NSW	1.4	/display/dailytelegraph.com.au/Web/DailyTelegraph/NSW News and Photos/	1226487038730	newscomau	dailytelegraph			
News	VIC	1.5	/display/heraldsun.com.au/Web/HeraldSun/HS State News and Galleries/	1226490556165	newscomau	heraldsun	geelongadvertiser		
News	QLD	1.6	/display/couriermail.com.au/Web/CourierMail/CM QLD News and Photos/	1226502898756	newscomau	couriermail	townsvillebulletin	goldcoastbulletin	cairnspost
News	SA	1.7	/display/adelaidenow.com.au/Web/Advertiser/AN SA News and Photos	1226503157224	newscomau	adelaidenow			
News	WA	1.7	/display/perthnow.com.au/Web/PerthNow/PN WA News and Galleries/	1226522798346	newscomau	perthnow			
News	Tasmania	1.8	/display/newscorpaustralia.com/Web/NewsNetwork/Mercury/Tasmania News and Galleries/	1226682003345	newscomau		themercury		
Play		8.5	/display/whimn.com.au/Web/Play/	7dc4f2c5-96d8-41f8-b370-7d8152c9b8c0	whimn				
Rural Australia		1.9	/display/newscorpaustralia.com/Web/NewsNetwork/Weekly Times/Agribusiness/	1226762502780			weeklytimesnow		
Sport		0.1	/display/theaustralian.com.au/Web/TheAustralian/Sport/	1111112090007	theaustralian				
Sport		2.0	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/	1226487037076	newscomau	metros	regionals		
Sport	NRL News	2.1	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/NRL News/	1226496131468	newscomau	metros	regionals		
Sport	AFL	2.2	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/AFL/	1226492673037	newscomau	metros	regionals		
Sport	Rugby Gold	2.3	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/Rugby Gold/	1226505165626	newscomau	metros	regionals		
Sport	Football	2.4	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/Football/	1226525072639	newscomau	metros	regionals		
Sport	Cricket	2.5	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/Cricket news and galleries/	1226507551544	newscomau	metros	regionals		
Sport	SuperRacing	2.6	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/SuperRacing/	1226494481407	newscomau	metros	regionals		
Sport	MotorSport	2.7	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/Motorsport/	1226506782073	newscomau	metros	regionals		
Sport	Tennis	2.8	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/Tennis news and galleries/	1226526577200	newscomau	metros	regionals		
Sport	Boxing	2.9	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/Boxing/MMA/	1226506788234	newscomau	metros	regionals		
Sport	Basketball	2.10	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/Basketball/	1226506792604	newscomau	metros	regionals		
Sport	Golf	2.11	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/Golf news/	1226524766553	newscomau	metros	regionals		
Sport	Cycling	2.12	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/Cycling/	1226541039608	newscomau	metros	regionals		
Sport	US Sports	2.13	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/US Sports/	1227048666067	newscomau	metros	regionals		
Sport	More Sports	2.14	/display/newscorpaustralia.com/Web/NewsNetwork/Sport news and galleries/More Sports/	1226506797283	newscomau	metros	regionals		
Strength		8.2	/display/whimn.com.au/Web/Strength/	4dad370d-f41e-469a-b49a-acda4b66e81f	whimn				
Talk		8.0	/display/whimn.com.au/Web/Talk/	7be4e8bc-2d3a-484e-80c6-ac3925e7e7de	whimn				
Technology		0.6	/display/theaustralian.com.au/Web/TheAustralian/Technology/	1111112093841	theaustralian				
Technology		6.0	/display/newscorpaustralia.com/Web/NewsNetwork/Technology - syndicated/	1226512108273	newscomau	metros	regionals		
Technology	Environment	6.1	/display/newscorpaustralia.com/Web/NewsNetwork/Technology - syndicated/Environment/	1226732557769	newscomau	metros	regionals		
Travel		5.0	/display/newscorpaustralia.com/Web/NewsNetwork/Travel - News.com.au/	1226515126871	newscomau	metros	regionals		
